model,metric,era5_value,gcm_20thcal_value,bias_absolute,bias_relative
cnrm6,diag_group_shortfall_total_usd,6174970.940672383,2192516.8977953163,-3982454.0428770664,-0.6449348638462457
cnrm6,diag_groups_with_shortfall,0.073,0.0265,-0.0465,-0.636986301369863
cnrm6,diag_groups_fully_funded_share,0.9986226415094339,0.9995,0.000877358490566138,0.0008785685944792887
cnrm6,figa_residual_deficit_usd,1292311924.0864177,431624772.65491366,-860687151.431504,-0.6660057339020183
cnrm6,figa_collected_usd,48326314.97494906,23120679.894202765,-25205635.080746297,-0.5215716342910101
cnrm6,citizens_residual_deficit_usd,718277468.2344651,268662368.7244724,-449615099.5099927,-0.6259629730766192
cnrm6,citizens_tier1_usd,100789599.68242246,51450805.682834536,-49338793.99958792,-0.4895226705438788
cnrm6,citizens_tier2_usd,49554667.266172744,23783580.89974005,-25771086.366432693,-0.5200536657426955
cnrm6,citizens_tier1_capacity_usd,539937478.65,539937478.65,0.0,0.0
cnrm6,citizens_tier2_capacity_usd,359958319.09999996,359958319.09999996,0.0,0.0
cnrm6,nfip_borrowed_usd,345997559.61779946,87549589.81165476,-258447969.8061447,-0.7469647187443607
cnrm6,nfip_claims_paid_usd,644954483.8175347,229590548.582075,-415363935.2354597,-0.6440205404525432
cnrm6,nfip_pool_used_usd,298956924.1997352,142040958.77042025,-156915965.42931497,-0.5248781771800619
cnrm6,nfip_fl_premium_base_usd,1395853723.0,1395853723.0,0.0,0.0
cnrm6,nfip_fl_premium_depletion_usd,182250316.13919604,92895732.43388967,-89354583.70530637,-0.4902849311770776
cnrm6,underinsured_flood_usd,0.0,0.0,0.0,
cnrm6,fhcf_total_precap_usd,1311138277.5906637,518903054.2189373,-792235223.3717264,-0.6042346844053176
cnrm6,fhcf_total_postcap_usd,965536172.7988871,380542663.0743674,-584993509.7245197,-0.6058742553670942
cnrm6,fhcf_shortfall_usd,345602104.79177666,138360391.14456993,-207241713.64720672,-0.5996540842020297
cnrm6,fhcf_scaling_factor,0.9895177457955809,0.9958960225232019,0.006378276727620924,0.006445843699844649
cnrm6,fhcf_recovery_private_usd,805045573.3874182,309039749.86204416,-496005823.525374,-0.6161214220933022
cnrm6,fhcf_recovery_citizens_usd,160490599.41146898,71502913.2123233,-88987686.19914569,-0.554472888290468
cnrm6,catbond_payout_usd,511945273.42870957,302218151.80869,-209727121.62001956,-0.4096670728404037
cnrm6,catbond_unfilled_usd,0.0,0.0,0.0,
cnrm6,catbond_triggers,3.6528,2.2945,-1.3582999999999998,-0.3718517301795882
cnrm6,catbond_limit_in_force_usd,9464500000.0,9464500000.0,0.0,0.0
