pathway_abs,time_category,metric,era5_baseline_abs,delta_median_abs,delta_p10_abs,delta_p90_abs,scaled_median_abs,scaled_p10_abs,scaled_p90_abs,n_models_abs,pathway_rel,era5_baseline_rel,delta_median_rel,delta_p10_rel,delta_p90_rel,scaled_median_rel,scaled_p10_rel,scaled_p90_rel,n_models_rel,diff_median,diff_median_pct
ssp245,mid,defaults_post,2.1875,4.758900000000001,0.91726,5.47522,6.946400000000001,3.1047599999999997,7.66272,5,ssp245,2.1875,5.64971037388099,1.7345457092367198,13.845019551007216,14.546241442864666,5.981818738955324,32.473480267828286,5,-7.5998414428646655,-52.24608344853645
ssp245,mid,defaults_post,2.1875,4.758900000000001,0.91726,5.47522,6.946400000000001,3.1047599999999997,7.66272,5,ssp585,2.1875,7.481937862032647,2.3000616489303765,22.537182708620275,18.554239073196417,7.218884857035198,51.48758717510685,5,-11.607839073196416,-62.561655195901736
ssp245,mid,defaults_pre,3.4775,7.633033166081285,1.4665532218925885,8.777107713625867,11.110533166081286,4.944053221892588,12.254607713625866,5,ssp245,3.4775,5.726541733120681,1.7265417199502742,14.010881113697915,23.391548876927168,9.481548831127078,52.200339072884496,5,-12.281015710845882,-52.501934675046535
ssp245,mid,defaults_pre,3.4775,7.633033166081285,1.4665532218925885,8.777107713625867,11.110533166081286,4.944053221892588,12.254607713625866,5,ssp585,3.4775,7.617889420521,2.3165009015699383,22.975727249462583,29.968710459861775,11.53313188520946,83.37559151000613,5,-18.85817729378049,-62.926222064302564
ssp245,mid,diag_group_shortfall_total_usd,6174970.940672383,19205021.123740893,4721746.231420105,34171462.193488754,25379992.064413276,10896717.172092488,40346433.13416114,5,ssp245,6174970.940672383,29.074030266192654,6.813817422546164,121.38036888708653,185706262.96264136,48250095.519942135,755695221.5865259,5,-160326270.89822808,-86.3332600314514
ssp245,mid,diag_group_shortfall_total_usd,6174970.940672383,19205021.123740893,4721746.231420105,34171462.193488754,25379992.064413276,10896717.172092488,40346433.13416114,5,ssp585,6174970.940672383,31.04833770494996,10.536964146558159,343.93060842607224,197897554.02492103,71240418.34857579,2129936483.5794406,5,-172517561.96050775,-87.17518658102404
ssp245,mid,diag_groups_fully_funded_share,0.9986226415094339,-0.0034335315112327125,-0.004038988797465693,-0.0006298428113860499,0.9951891099982012,0.9945836527119682,0.9979927986980479,5,ssp245,0.9986226415094339,-0.0034339541357370114,-0.004040419437252049,-0.0006300458582119883,0.995193417159582,0.9945877871781992,0.9979934634502341,5,-4.307161380778801e-06,-0.0004327964098749797
ssp245,mid,diag_groups_fully_funded_share,0.9986226415094339,-0.0034335315112327125,-0.004038988797465693,-0.0006298428113860499,0.9951891099982012,0.9945836527119682,0.9979927986980479,5,ssp585,0.9986226415094339,-0.004932251742160335,-0.009275157110441414,-0.0010788443260969648,0.9936971832460882,0.9893602596153899,0.9975452831387295,5,0.0014919267521129598,0.15013897364983125
ssp245,mid,diag_groups_with_shortfall,0.073,0.18197717009533368,0.03338166900346046,0.21406640626568935,0.25497717009533366,0.10638166900346045,0.28706640626568936,5,ssp245,0.073,8.033962264150944,2.3968764467958925,23.032133823529414,0.6594792452830188,0.24797198061610015,1.7543457691176472,5,-0.40450207518768516,-61.33658914680341
ssp245,mid,diag_groups_with_shortfall,0.073,0.18197717009533368,0.03338166900346046,0.21406640626568935,0.25497717009533366,0.10638166900346045,0.28706640626568936,5,ssp585,0.073,11.773584905660378,3.1027021553655896,42.87574921945701,0.9324716981132075,0.29949725734168803,3.2029296930203617,5,-0.6774945280178739,-72.65577383085595
