pathway,time_category,metric,n_models,delta_median,delta_mean,delta_std,delta_p10,delta_p90,delta_min,delta_max
ssp585,mid,wind_insured_private_pct,5,0.48355503658512855,0.6261883593258086,0.5535224079748484,0.09759523040063067,1.169986264380726,-0.1461310013750625,1.1892649551940169
ssp585,mid,wind_insured_private_usd,5,11.292062279508134,19.598523429277684,19.076609564426576,3.0786845376125958,40.2896172829913,2.6707378047103676,40.76966156454856
ssp585,mid,wind_total_usd,5,11.244842933474514,19.489872752306525,19.066094366158175,2.977223713620123,40.16658047964372,2.655069902350961,40.654909407851996
ssp585,mid,wind_underinsured_pct,5,0.46951488760136495,0.6209315403726438,0.5723896546178656,0.07378990175765501,1.1897904958310972,-0.1619724493276382,1.2095888087476916
ssp585,mid,wind_underinsured_usd,5,11.33992489136848,19.47419803572384,19.012399150851536,2.9568981609101215,40.04923860426063,2.5732950223927116,40.395258228959584
ssp585,mid,wind_uninsured_pct,5,0.46940930321752417,0.6241033180046314,0.5759689201773011,0.07497578672455332,1.192556970927723,-0.16988897340433126,1.2053381880544478
ssp585,mid,wind_uninsured_usd,5,11.425927175648782,19.659772645332687,19.193809978398548,2.997852384585201,40.51808252514661,2.5938572931010775,41.239945153528666
ssp585,mid,year_id,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp585,near,catbond_issue_volume_year_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp585,near,catbond_limit_in_force_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp585,near,catbond_payout_usd,5,2.752715041342861,3.128616262905417,2.4200212373733474,0.7522090856791674,5.660920402187407,0.402494605266256,5.882420287698162
ssp585,near,catbond_triggers,5,2.26559163216387,2.615982920741341,2.0001687452782915,0.6656443280573735,4.713667855673235,0.4049679352268083,4.862947040340564
ssp585,near,citizens_residual_deficit_usd,5,10.094424337119872,12.24892785099355,9.82243604458453,3.2125386964904825,22.478216244155412,0.08513542308368575,26.06820944445002
ssp585,near,citizens_tier1_capacity_usd,5,0.0,4.4156701197641997e-17,9.873738554007388e-17,0.0,1.32470103592926e-16,0.0,2.2078350598821e-16
ssp585,near,citizens_tier1_usd,5,3.732189528240691,4.2815412899723695,3.3353124522409963,1.017688199373861,7.789355406953824,0.40872161247961875,8.275462575916494
ssp585,near,citizens_tier2_capacity_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp585,near,citizens_tier2_usd,5,4.349764468196823,4.932627368943395,3.829865479172391,1.148758495898172,8.912566881288893,0.2638755303851187,9.416006602509903
ssp585,near,defaulted_premium_base_pct,5,5.009162210279598,5.813932469454082,4.630975530613689,1.293506886800091,10.682644142584587,0.31857158483155024,11.441183288110205
ssp585,near,defaults_post,5,5.869931542917324,6.842612652247494,5.433168514895265,1.5434591758327096,12.542210748170115,0.28052059804237917,13.461565585331453
ssp585,near,defaults_pre,5,5.961589580010633,6.887712300581309,5.468719515707386,1.5418608091571573,12.618767986166763,0.2783194986825214,13.57088063214526
ssp585,near,diag_group_shortfall_total_usd,5,33.559814291352176,43.238832671965056,42.7001012174157,8.305356205066614,87.1902108029264,-0.19149325642577877,112.40063015944466
ssp585,near,diag_groups_fully_funded_share,5,-0.0025904540978638957,-0.002599290402354527,0.002096195491619129,-0.004707046552538324,-0.0004417251958482224,-0.004888882508892319,-4.298040522293187e-05
ssp585,near,diag_groups_with_shortfall,5,8.864150943396227,10.774905916155266,9.014444668436663,2.0133551833976835,20.215091515837106,0.07583006756756765,21.045646153846157
ssp585,near,fhcf_recovery_citizens_usd,5,8.472354993286526,8.730146931598796,6.78323294572212,2.2152087798726665,15.493514109091022,-0.03874216884582601,18.22559728424934
ssp585,near,fhcf_recovery_private_usd,5,7.240774007720124,9.09854730865518,7.405428161220406,2.3373779126955085,16.892419874406592,0.1199794864264161,19.52508437797253
